Id,No,Major,Course,Score,Credit
5105,180,0,130,90.0,2.5
5106,350,2,43,78.0,3.0
5107,309,1,49,82.0,1.0
5108,171,0,21,68.0,1.0
5109,267,1,8,85.0,6.0
5110,189,0,19,93.0,3.0
5111,241,0,1,63.0,4.0
5112,31,0,5,78.0,3.0
5113,275,1,146,77.0,3.0
5114,352,2,57,79.0,3.0
5115,144,0,50,77.0,4.0
5116,202,0,51,87.0,2.0
5117,188,0,15,45.0,3.5
5118,124,0,12,88.0,1.0
5119,81,0,1,66.0,4.0
5120,251,0,143,80.0,3.0
5121,70,0,24,97.0,1.0
5122,474,2,35,95.0,4.0
5123,472,2,7,86.0,6.0
5124,201,0,58,72.0,2.0
5125,449,2,5,66.0,3.0
5126,412,2,48,65.0,6.0
5127,222,0,25,71.0,3.0
5128,316,1,172,81.0,2.0
5129,136,0,11,78.0,1.0
5130,38,0,54,85.0,2.0
5131,16,0,114,87.0,3.0
5132,402,2,15,90.0,3.5
5133,470,2,17,62.0,4.0
5134,242,0,53,73.0,3.0
5135,256,1,166,90.0,1.0
5136,295,1,165,77.0,3.0
5137,55,0,121,88.0,2.0
5138,256,1,165,91.0,3.0
5139,203,0,136,80.0,1.0
5140,366,2,12,83.0,1.0
5141,87,0,52,88.0,1.0
5142,488,2,195,75.0,2.0
5143,143,0,49,76.0,1.0
5144,40,0,52,90.0,1.0
5145,212,0,54,85.0,2.0
5146,367,2,59,92.0,1.0
5147,63,0,109,54.0,3
5148,79,0,28,92.0,1.0
5149,11,0,119,68.0,3.0
5150,122,0,22,78.0,2.0
5151,312,1,165,83.0,3.0
5152,22,0,10,75.0,2.0
5153,133,0,7,79.0,6.0
5154,388,2,54,88.0,2.0
5155,118,0,26,80.0,1.0
5156,166,0,31,90.0,1.0
5157,43,0,20,78.0,4.0
5158,101,0,16,82.0,4.5
5159,173,0,57,78.0,3.0
5160,315,1,28,71.0,1.0
5161,274,1,109,73.0,3.0
5162,351,2,20,70.0,4.0
5163,89,0,56,63.0,3.5
5164,102,0,57,77.0,3.0
5165,13,0,52,90.0,1.0
5166,385,2,187,80.0,0.5
5167,3,0,58,74.0,2.0
5168,145,0,43,66.0,3.0
5169,97,0,128,83.0,2.5
5170,168,0,45,64.0,3.0
5171,343,1,116,76.0,2.0
5172,76,0,21,88.0,1.0
5173,331,1,5,82.0,3.0
5174,17,0,53,62.0,3.0
5175,5,0,19,83.0,3.0
5176,416,2,28,85.0,1.0
5177,127,0,17,70.0,4.0
5178,404,2,6,74.0,4.0
5179,33,0,1,91.0,4.0
5180,126,0,117,78.0,3.5
5181,413,2,109,80.0,3.0
5182,435,2,23,70.0,2.0
5183,77,0,11,88.0,1.0
5184,334,1,12,72.0,1.0
5185,357,2,40,94.0,1.0
5186,285,1,113,85.0,2.5
5187,195,0,130,77.0,2.5
5188,341,1,5,55.0,3.0
5189,90,0,116,91.0,2
5190,340,1,124,90.0,0.5
5191,194,0,31,90.0,1.0
5192,192,0,28,70.0,1.0
5193,127,0,24,97.0,1.0
5194,462,2,21,75.0,1.0
5195,375,2,49,95.0,1.0
5196,490,2,35,89.0,4.0
5197,325,1,21,83.0,1.0
5198,12,0,26,64.0,1.0
5199,370,2,31,95.0,1.0
5200,146,0,42,86.0,1.0
5201,272,1,8,76.0,6.0
5202,226,0,11,81.0,1.0
5203,94,0,32,96.0,8.0
5204,20,0,21,79.0,1.0
5205,389,2,24,94.0,1.0
5206,298,1,13,74.0,2.0
5207,4,0,56,73.0,3.5
5208,110,0,22,70.0,2.0
5209,312,1,17,65.0,4.0
5210,108,0,59,88.0,1.0
5211,51,0,37,84.0,2.0
5212,286,1,37,91.0,2.0
5213,149,0,21,80.0,1.0
5214,241,0,30,66.0,1.0
5215,474,2,30,77.0,1.0
5216,292,1,11,85.0,1.0
5217,319,1,40,90.0,1.0
5218,290,1,10,62.0,2.0
5219,192,0,30,50.0,1.0
5220,344,2,40,85.0,1.0
5221,7,0,23,82.0,2.0
5222,439,2,9,74.0,4.5
5223,267,1,21,86.0,1.0
5224,150,0,57,47.0,3.0
5225,225,0,56,73.0,3.5
5226,289,1,127,77.0,3.0
5227,195,0,125,81.0,1.0
5228,447,2,13,83.0,2.0
5229,187,0,112,76.0,3.0
5230,322,1,51,83.0,2.0
5231,385,2,77,70.0,4.0
5232,379,2,187,80.0,0.5
5233,310,1,58,63.0,2.0
5234,86,0,53,69.0,3.0
5235,463,2,31,90.0,1.0
5236,388,2,31,95.0,1.0
5237,459,2,25,66.0,3.0
5238,291,1,161,80.0,2.0
5239,203,0,51,77.0,2.0
5240,365,2,7,80.0,6.0
5241,347,2,25,94.0,3.0
5242,378,2,35,94.0,4.0
5243,28,0,12,89.0,1.0
5244,334,1,180,80.0,2.0
5245,90,0,115,82.0,1.0
5246,112,0,32,92.0,8.0
5247,43,0,54,82.0,2.0
5248,189,0,55,77.0,2.0
5249,68,0,39,84.0,1.0
5250,317,1,1,50.0,4.0
5251,33,0,2,83.0,1.0
5252,133,0,2,77.0,1.0
5253,269,1,6,78.0,4.0
5254,68,0,16,79.0,4.5
5255,439,2,10,80.0,2.0
5256,156,0,134,82.0,2.5
5257,103,0,32,97.0,8.0
5258,350,2,8,83.0,6.0
5259,141,0,6,68.0,4.0
5260,299,1,1,88.0,4.0
5261,194,0,121,71.0,2.0
5262,490,2,3,80.0,2.0
5263,419,2,29,84.0,3.0
5264,304,1,166,93.0,1.0
5265,18,0,26,84.0,1.0
5266,388,2,25,82.0,3.0
5267,140,0,1,57.0,4.0
5268,284,1,12,83.0,1.0
5269,199,0,51,66.0,2.0
5270,251,0,30,68.0,1.0
5271,4,0,37,70.0,2.0
5272,357,2,109,85.0,3.0
5273,344,2,73,89.0,0.5
5274,68,0,46,92.0,2.0
5275,210,0,2,90.0,1.0
5276,28,0,0,76.0,3.0
5277,392,2,22,85.0,2.0
5278,190,0,58,75.0,2.0
5279,266,1,54,90.0,2.0
5280,297,1,50,75.0,4.0
5281,33,0,29,92.0,3.0
5282,279,1,1,68.0,4.0
5283,87,0,45,75.0,3.0
5284,489,2,40,84.0,1.0
5285,302,1,8,23.0,6.0
5286,382,2,12,80.0,1.0
5287,294,1,20,73.0,4.0
5288,399,2,11,87.0,1.0
5289,177,0,32,92.0,8.0
5290,437,2,195,77.0,2.0
5291,435,2,37,93.0,2.0
5292,201,0,116,78.0,2.0
5293,319,1,167,84.0,0.5
5294,381,2,43,85.0,3.0
5295,71,0,29,79.0,3.0
5296,246,0,50,81.0,4.0
5297,363,2,192,77.0,2.0
5298,345,2,6,77.0,4.0
5299,57,0,1,71.4,4.0
5300,47,0,44,91.0,2.5
5301,275,1,43,73.0,3.0
5302,331,1,48,94.0,6.0
5303,386,2,21,80.0,1.0
5304,403,2,17,65.0,4.0
5305,273,1,45,61.0,3.0
5306,189,0,131,84.0,2.5
5307,47,0,22,82.0,2.0
5308,406,2,2,93.0,1.0
5309,231,0,7,84.0,6.0
5310,330,1,51,76.0,2.0
5311,298,1,162,75.0,3.0
5312,57,0,110,65.6,3.5
5313,57,0,5,77.2,3.0
5314,365,2,51,84.0,2.0
5315,201,0,1,65.0,4.0
5316,65,0,47,77.0,3.0
5317,366,2,52,87.0,1.0
5318,218,0,46,80.0,2.0
5319,431,2,188,73.0,3.0
5320,42,0,13,72.0,2.0
5321,6,0,53,72.0,3.0
5322,39,0,24,100.0,1.0
5323,337,1,162,84.0,3.0
5324,76,0,59,85.0,1
5325,137,0,36,75.0,4.0
5326,113,0,46,90.0,2.0
5327,209,0,15,60.0,3.5
5328,431,2,26,75.0,1.0
5329,254,1,60,81.0,3.0
5330,46,0,36,78.0,4.0
5331,368,2,48,91.0,6.0
5332,360,2,193,82.0,1.0
5333,61,0,42,85.0,1.0
5334,130,0,134,94.0,2.5
5335,319,1,1,60.0,4.0
5336,38,0,39,79.0,1.0
5337,37,0,8,60.0,6.0
5338,191,0,13,77.0,2.0
5339,364,2,43,60.0,3.0
5340,271,1,31,95.0,1.0
5341,38,0,11,90.0,1.0
5342,189,0,1,94.0,4.0
5343,156,0,10,75.0,2.0
5344,466,2,200,72.0,3.0
5345,200,0,56,45.0,3.5
5346,110,0,11,80.0,1.0
5347,21,0,59,87.0,1
5348,462,2,3,79.0,2.0
5349,322,1,1,69.0,4.0
5350,365,2,25,91.0,3.0
5351,132,0,48,74.0,6.0
5352,295,1,29,73.0,3.0
5353,417,2,6,62.0,4.0
5354,405,2,9,83.0,4.5
5355,275,1,164,83.0,2.0
5356,89,0,12,82.0,1.0
5357,154,0,1,63.0,4.0
5358,148,0,31,90.0,1.0
5359,125,0,47,61.0,3.0
5360,463,2,12,85.0,1.0
5361,157,0,22,78.0,2.0
5362,292,1,180,92.0,2.0
5363,368,2,54,86.0,2.0
5364,10,0,49,87.0,1.0
5365,487,2,35,91.0,4.0
5366,13,0,7,85.0,6.0
5367,214,0,14,81.0,3.0
5368,452,2,191,82.0,3.0
5369,126,0,10,48.0,2.0
5370,99,0,11,89.0,1.0
5371,468,2,5,66.0,3.0
5372,349,2,15,72.0,3.5
5373,397,2,31,90.0,1.0
5374,249,0,17,57.0,4.0
5375,241,0,6,66.0,4.0
5376,230,0,48,74.0,6.0
5377,146,0,132,85.0,2.5
5378,435,2,25,82.0,3.0
5379,245,0,133,75.0,2.5
5380,465,2,46,86.0,2.0
5381,67,0,26,76.0,1.0
5382,277,1,161,84.0,2.0
5383,488,2,200,86.0,3.0
5384,420,2,15,63.0,3.5
5385,208,0,16,86.0,4.5
5386,409,2,20,66.0,4.0
5387,64,0,51,68.0,2.0
5388,160,0,19,94.0,3.0
5389,8,0,117,71.0,3.5
5390,298,1,7,83.0,6.0
5391,315,1,16,69.0,4.5
5392,274,1,49,82.0,1.0
5393,283,1,30,60.0,1.0
5394,277,1,31,95.0,1.0
5395,91,0,122,60.0,2.5
5396,255,1,54,90.0,2.0
5397,89,0,1,80.0,4.0
5398,444,2,113,60.0,2.5
5399,179,0,31,90.0,1.0
5400,74,0,46,95.0,2.0
5401,103,0,26,80.0,1.0
5402,457,2,55,72.0,2.0
5403,411,2,55,78.0,2.0
5404,140,0,35,47.0,4.0
5405,447,2,24,97.0,1.0
5406,279,1,163,69.0,3.5
5407,345,2,26,76.0,1.0
5408,44,0,20,69.0,4.0
5409,318,1,161,88.0,2.0
5410,258,1,167,89.0,0.5
5411,355,2,8,86.0,6.0
5412,473,2,42,74.0,1.0
5413,329,1,11,96.0,1.0
5414,199,0,111,77.0,2.5
5415,88,0,14,86.0,3.0
5416,431,2,32,92.0,8.0
5417,300,1,59,85.0,1.0
5418,374,2,191,82.0,3.0
5419,46,0,11,96.0,1.0
5420,61,0,15,71.8,3.5
5421,282,1,116,88.0,2.0
5422,295,1,17,71.0,4.0
5423,334,1,163,68.0,3.5
5424,428,2,50,74.0,4.0
5425,345,2,42,77.0,1.0
5426,183,0,26,80.0,1.0
5427,76,0,12,86.0,1.0
5428,17,0,55,87.0,2.0
5429,357,2,16,89.0,4.5
5430,375,2,1,78.0,4.0
5431,15,0,10,56.0,2.0
5432,461,2,58,80.0,2.0
5433,464,2,48,77.0,6.0
5434,167,0,56,79.0,3.5
5435,377,2,43,78.0,3.0
5436,56,0,17,62.0,4.0
5437,137,0,32,89.0,8.0
5438,351,2,31,95.0,1.0
5439,199,0,22,78.0,2.0
5440,54,0,25,76.0,3.0
5441,256,1,49,88.0,1.0
5442,6,0,19,96.0,3.0
5443,417,2,11,90.0,1.0
5444,211,0,35,82.0,4.0
5445,479,2,12,88.0,1.0
5446,91,0,45,47.0,3.0
5447,481,2,1,81.0,4.0
5448,154,0,105,91.0,3.0
5449,174,0,17,63.0,4.0
5450,391,2,113,80.0,2.5
5451,199,0,41,72.0,1.0
5452,489,2,19,86.0,3.0
5453,405,2,190,84.0,3.0
5454,413,2,6,76.0,4.0
5455,199,0,30,51.0,1.0
5456,422,2,37,96.0,2.0
5457,117,0,47,82.0,3.0
5458,412,2,26,64.0,1.0
5459,237,0,136,90.0,1.0
5460,37,0,56,62.0,3.5
5461,397,2,189,91.0,3.0
5462,178,0,52,75.0,1.0
5463,369,2,77,59.0,4.0
5464,176,0,42,61.0,1.0
5465,463,2,26,90.0,1.0
5466,279,1,3,70.0,2.0
5467,452,2,59,86.0,1.0
5468,77,0,51,68.0,2.0
5469,74,0,40,90.0,1.0
5470,315,1,30,64.0,1.0
5471,492,2,36,90.0,4.0
5472,13,0,41,83.0,1.0
5473,36,0,19,80.0,3.0
5474,145,0,5,75.0,3.0
5475,132,0,44,88.0,2.5
5476,134,0,32,97.0,8.0
5477,450,2,37,75.0,2.0
5478,277,1,172,86.0,2.0
5479,262,1,19,92.0,3.0
5480,128,0,12,81.0,1.0
5481,472,2,12,88.0,1.0
5482,8,0,42,91.0,1.0
5483,103,0,8,80.0,6.0
5484,260,1,54,90.0,2.0
5485,249,0,52,84.0,1.0
5486,273,1,13,80.0,2.0
5487,431,2,192,79.0,2.0
5488,96,0,26,76.0,1.0
5489,187,0,54,90.0,2.0
5490,266,1,3,81.0,2.0
5491,229,0,123,60.0,2.5
5492,92,0,26,76.0,1.0
5493,421,2,29,87.0,3.0
5494,473,2,55,72.0,2.0
5495,437,2,3,80.0,2.0
5496,203,0,5,70.0,3.0
5497,74,0,51,84.0,2.0
5498,236,0,133,82.0,2.5
5499,218,0,29,83.0,3.0
5500,57,0,26,60.0,1.0
5501,193,0,32,93.0,8.0
5502,326,1,42,75.0,1.0
5503,204,0,137,70.0,2.5
5504,76,0,40,82.0,1.0
5505,42,0,4,81.0,2.0
5506,242,0,3,71.0,2.0
5507,327,1,56,67.0,3.5
5508,266,1,170,80.0,2.0
5509,295,1,42,65.0,1.0
5510,222,0,131,86.0,2.5
5511,316,1,55,86.0,2.0
5512,97,0,109,78.0,3.0
5513,123,0,56,68.0,3.5
5514,382,2,23,83.0,2.0
5515,146,0,5,84.0,3.0
5516,202,0,135,84.0,1.0
5517,52,0,43,69.0,3.0
5518,125,0,12,87.0,1.0
5519,120,0,21,80.0,1.0
5520,358,2,36,87.0,4.0
5521,188,0,58,76.0,2.0
5522,255,1,167,84.0,0.5
5523,10,0,110,70.0,3.5
5524,272,1,168,83.0,2.0
5525,385,2,39,82.0,1.0
5526,273,1,51,83.0,2.0
5527,446,2,201,76.0,2.0
5528,64,0,19,61.0,3.0
5529,36,0,50,65.0,4.0
5530,85,0,1,96.0,4.0
5531,323,1,40,88.0,1.0
5532,327,1,9,77.0,4.5
5533,328,1,183,73.0,2.0
5534,340,1,105,91.0,3.0
5535,207,0,136,81.0,1.0
5536,269,1,169,90.0,0.5
5537,433,2,30,73.0,1.0
5538,467,2,1,69.0,4.0
5539,430,2,25,97.0,3.0
5540,429,2,19,96.0,3.0
5541,82,0,111,64.0,2.5
5542,284,1,45,41.0,3.0
5543,268,1,17,70.0,4.0
5544,492,2,20,82.0,4.0
5545,252,0,134,82.0,2.5
5546,200,0,105,91.0,3.0
5547,488,2,189,94.0,3.0
5548,475,2,52,64.0,1.0
5549,294,1,174,86.0,1.0
5550,241,0,26,80.0,1.0
5551,217,0,44,91.0,2.5
5552,127,0,21,84.0,1.0
5553,330,1,168,84.0,2.0
5554,197,0,135,87.0,1.0
5555,437,2,43,85.0,3.0
5556,201,0,3,64.0,2.0
5557,392,2,49,86.0,1.0
5558,182,0,54,85.0,2.0
5559,372,2,52,85.0,1.0
5560,344,2,16,85.0,4.5
5561,473,2,13,72.0,2.0
5562,381,2,32,86.0,8.0
5563,94,0,55,72.0,2.0
5564,28,0,113,65.0,2.5
5565,8,0,110,77.0,3.5
5566,161,0,59,93.0,1.0
5567,24,0,20,69.0,4.0
5568,14,0,14,74.0,3.0
5569,82,0,51,61.0,2.0
5570,303,1,124,80.0,0.5
5571,208,0,11,85.0,1.0
5572,51,0,26,68.0,1.0
5573,426,2,188,85.0,3.0
5574,466,2,3,76.0,2.0
5575,316,1,46,83.0,2.0
5576,157,0,2,86.0,1.0
5577,253,1,14,77.0,3.0
5578,76,0,48,92.0,6.0
5579,244,0,26,85.0,1.0
5580,202,0,129,71.0,2.5
5581,13,0,19,79.0,3.0
5582,424,2,11,92.0,1.0
5583,403,2,11,88.0,1.0
5584,439,2,7,87.0,6.0
5585,270,1,11,70.0,1.0
5586,115,0,24,80.0,1.0
5587,117,0,1,78.0,4.0
5588,440,2,5,74.0,3.0
5589,221,0,19,82.0,3.0
5590,78,0,31,95.0,1.0
5591,288,1,1,62.0,4.0
5592,438,2,26,85.0,1.0
5593,349,2,30,90.0,1.0
5594,435,2,188,74.0,3.0
5595,210,0,32,94.0,8.0
5596,169,0,25,87.0,3.0
5597,309,1,17,64.0,4.0
5598,1,0,29,86.0,3.0
5599,128,0,25,97.0,3.0
5600,330,1,46,89.0,2.0
5601,297,1,12,87.0,1.0
5602,443,2,200,63.0,3.0
5603,259,1,56,82.0,3.5
5604,186,0,36,76.0,4.0
5605,374,2,30,88.0,1.0
5606,81,0,32,82.0,8.0
5607,240,0,12,75.0,1.0
5608,301,1,11,90.0,1.0
5609,122,0,50,80.0,4.0
5610,239,0,6,66.0,4.0
5611,6,0,16,81.0,4.5
5612,259,1,43,73.0,3.0
5613,243,0,16,83.0,4.5
5614,434,2,12,92.0,1.0
5615,91,0,119,60.0,3.0
5616,261,1,8,76.0,6.0
5617,218,0,50,72.0,4.0
5618,400,2,36,84.0,4.0
5619,336,1,20,71.0,4.0
5620,72,0,3,69.0,2.0
5621,339,1,17,78.0,4.0
5622,148,0,43,75.0,3.0
5623,293,1,29,93.0,3.0
5624,6,0,120,90.0,1.0
5625,80,0,31,95.0,1.0
5626,278,1,2,78.0,1.0
5627,84,0,22,70.0,2.0
5628,315,1,116,89.0,2.0
5629,332,1,105,93.0,3.0
5630,291,1,42,60.0,1.0
5631,67,0,39,79.0,1.0
5632,127,0,30,86.0,1.0
5633,243,0,28,0.0,1.0
5634,447,2,30,72.0,1.0
5635,267,1,25,91.0,3
5636,449,2,40,80.0,1.0
5637,123,0,42,65.0,1.0
5638,108,0,13,65.0,2.0
5639,443,2,52,77.0,1.0
5640,377,2,3,85.0,2.0
5641,60,0,28,87.0,1.0
5642,423,2,32,81.0,8.0
5643,155,0,10,89.0,2.0
5644,372,2,23,83.0,2.0
5645,5,0,36,71.0,4.0
5646,218,0,36,74.0,4.0
5647,234,0,136,66.0,1.0
5648,112,0,31,100.0,1.0
5649,416,2,30,84.0,1.0
5650,380,2,6,64.0,4.0
5651,21,0,3,74.0,2.0
5652,405,2,45,73.0,3.0
5653,210,0,6,72.0,4.0
5654,30,0,43,84.0,3.0
5655,323,1,31,90.0,1.0
5656,66,0,8,80.0,6.0
5657,49,0,58,77.0,2.0
5658,485,2,49,89.0,1.0
5659,312,1,157,84.0,1.0
5660,189,0,137,90.0,2.5
5661,460,2,1,71.0,4.0
5662,148,0,25,89.0,3.0
5663,75,0,40,80.0,1.0
5664,459,2,32,90.0,8.0
5665,378,2,48,80.0,6.0
5666,379,2,20,77.0,4.0
5667,378,2,57,74.0,3.0
5668,304,1,8,85.0,6.0
5669,10,0,20,81.0,4.0
5670,429,2,7,82.0,6.0
5671,448,2,31,95.0,1.0
5672,251,0,31,95.0,1.0
5673,350,2,10,83.0,2.0
5674,356,2,55,66.0,2.0
5675,209,0,58,73.0,2.0
5676,283,1,58,76.0,2.0
5677,22,0,0,53.0,3.0
5678,418,2,9,69.0,4.5
5679,319,1,55,78.0,2.0
5680,467,2,12,90.0,1.0
5681,203,0,43,72.0,3.0
5682,137,0,7,81.0,6.0
5683,175,0,4,86.0,2.0
5684,455,2,49,70.0,1.0
5685,369,2,22,77.0,2.0
5686,448,2,26,70.0,1.0
5687,257,1,166,90.0,1.0
5688,28,0,17,70.0,4.0
5689,234,0,129,85.0,2.5
5690,378,2,36,86.0,4.0
5691,73,0,2,93.0,1.0
5692,29,0,9,52.0,4.5
5693,331,1,31,95.0,1.0
5694,337,1,13,76.0,2.0
5695,317,1,17,74.0,4.0
5696,370,2,37,64.0,2.0
5697,244,0,2,70.0,1.0
5698,329,1,16,63.0,4.5
5699,155,0,31,95.0,1.0
5700,59,0,8,73.0,6.0
5701,21,0,5,51.0,3.0
5702,407,2,2,90.0,1.0
5703,347,2,36,84.0,4.0
5704,66,0,17,64.0,4.0
5705,339,1,163,87.0,3.5
5706,54,0,9,55.0,4.5
5707,317,1,25,95.0,3.0
5708,480,2,25,91.0,3.0
5709,260,1,6,78.0,4.0
5710,53,0,3,74.0,2.0
5711,117,0,28,80.0,1.0
5712,311,1,124,90.0,0.5
5713,346,2,6,67.0,4.0
5714,181,0,5,88.0,3.0
5715,330,1,37,89.0,2.0
5716,146,0,9,86.0,4.5
5717,42,0,44,72.0,2.5
5718,389,2,12,85.0,1.0
5719,96,0,2,76.0,1.0
5720,371,2,6,66.0,4.0
5721,243,0,12,93.0,1.0
5722,222,0,45,70.0,3.0
5723,311,1,167,80.0,0.5
5724,383,2,45,70.0,3.0
5725,184,0,31,90.0,1.0
5726,76,0,46,95.0,2.0
5727,478,2,16,89.0,4.5
5728,209,0,132,82.0,2.5
5729,243,0,23,75.0,2.0
5730,281,1,42,91.0,1.0
5731,96,0,25,72.0,3
5732,310,1,42,60.0,1.0
5733,30,0,8,68.0,6.0
5734,46,0,55,78.0,2.0
5735,414,2,11,98.0,1.0
5736,170,0,50,76.0,4.0
5737,263,1,169,84.0,0.5
5738,433,2,109,83.0,3.0
5739,190,0,125,90.0,1.0
5740,30,0,31,100.0,1.0
5741,144,0,58,82.0,2.0
5742,439,2,32,92.0,8.0
5743,268,1,58,69.0,2.0
5744,489,2,73,87.0,0.5
5745,33,0,32,82.0,8.0
5746,377,2,45,63.0,3.0
5747,247,0,2,90.0,1.0
5748,95,0,36,90.0,4.0
5749,428,2,35,85.0,4.0
5750,196,0,37,69.0,2.0
5751,368,2,40,96.0,1.0
5752,268,1,163,72.0,3.5
5753,411,2,189,95.0,3.0
5754,112,0,126,90.0,2.5
5755,302,1,50,60.0,4.0
5756,267,1,58,71.0,2.0
5757,384,2,49,83.0,1.0
5758,167,0,53,81.0,3.0
5759,476,2,24,74.0,1.0
5760,187,0,35,60.0,4.0
5761,148,0,109,76.0,3.0
5762,391,2,35,74.0,4.0
5763,56,0,41,87.0,1.0
5764,170,0,34,90.0,2.5
5765,183,0,7,85.0,6.0
5766,283,1,8,86.0,6.0
5767,118,0,50,74.0,4.0
5768,229,0,9,73.0,4.5
5769,15,0,110,60.0,3.5
5770,382,2,26,80.0,1.0
5771,372,2,51,80.0,2.0
5772,83,0,48,75.0,6.0
5773,59,0,57,79.0,3.0
5774,155,0,29,94.0,3.0
5775,340,1,180,79.0,2.0
5776,353,2,35,82.0,4.0
5777,228,0,43,73.0,3.0
5778,180,0,55,81.0,2.0
5779,143,0,16,71.0,4.5
5780,476,2,6,79.0,4.0
5781,260,1,170,61.0,2.0
5782,87,0,31,95.0,1.0
5783,231,0,29,93.0,3.0
5784,197,0,6,66.0,4.0
5785,376,2,58,62.0,2.0
5786,317,1,28,65.0,1.0
5787,53,0,4,85.0,2.0
5788,53,0,26,68.0,1.0
5789,338,1,11,75.0,1.0
5790,276,1,28,84.0,1.0
5791,235,0,24,100.0,1.0
5792,74,0,118,85.0,3.0
5793,34,0,20,67.0,4.0
5794,389,2,105,79.0,3.0
5795,289,1,13,76.0,2.0
5796,251,0,7,90.0,6.0
5797,109,0,40,80.0,1.0
5798,144,0,44,80.0,2.5
5799,104,0,22,76.0,2.0
5800,333,1,22,83.0,2.0
5801,100,0,12,79.0,1.0
5802,193,0,31,95.0,1.0
5803,409,2,37,68.0,2.0
5804,86,0,27,92.0,2.0
5805,53,0,25,71.0,3
5806,130,0,49,75.0,1.0
5807,168,0,31,95.0,1.0
5808,237,0,132,84.0,2.5
5809,366,2,31,95.0,1.0
5810,93,0,14,79.0,3.0
5811,401,2,191,75.0,3.0
5812,126,0,12,85.0,1.0
5813,34,0,50,71.0,4.0
5814,481,2,21,86.0,1.0
5815,106,0,45,82.0,3.0
5816,144,0,55,63.0,2.0
5817,132,0,29,94.0,3.0
5818,41,0,45,87.0,3.0
5819,282,1,9,60.0,4.5
5820,387,2,20,69.0,4.0
5821,103,0,20,80.0,4.0
5822,490,2,50,80.0,4.0
5823,402,2,35,71.0,4.0
5824,31,0,13,80.0,2.0
5825,490,2,123,70.0,2.5
5826,274,1,157,87.0,1.0
5827,428,2,59,83.0,1.0
5828,20,0,24,98.0,1.0
5829,169,0,54,85.0,2.0
5830,278,1,113,84.0,2.5
5831,413,2,54,85.0,2.0
5832,50,0,18,75.0,2.5
5833,342,1,48,61.0,6.0
5834,381,2,105,76.0,3.0
5835,55,0,37,89.0,2.0
5836,107,0,32,94.0,8.0
5837,101,0,44,82.0,2.5
5838,250,0,10,68.0,2.0
5839,376,2,19,85.0,3.0
5840,282,1,3,77.0,2.0
5841,144,0,28,72.0,1.0
5842,110,0,25,86.0,3.0
5843,367,2,16,90.0,4.5
5844,276,1,49,80.0,1.0
5845,392,2,188,73.0,3.0
5846,122,0,109,68.0,3.0
5847,438,2,52,60.0,1.0
5848,55,0,0,97.0,3.0
5849,449,2,51,82.0,2.0
5850,187,0,45,61.0,3.0
5851,54,0,21,70.0,1.0
5852,488,2,45,62.0,3.0
5853,248,0,9,63.0,4.5
5854,384,2,31,95.0,1.0
5855,48,0,115,82.0,1.0
5856,123,0,49,82.0,1.0
5857,485,2,42,80.0,1.0
5858,357,2,30,73.0,1.0
5859,259,1,8,96.0,6.0
5860,118,0,42,79.0,1.0
5861,473,2,7,75.0,6.0
5862,336,1,13,66.0,2.0
5863,195,0,11,94.0,1.0
5864,384,2,43,75.0,3.0
5865,90,0,11,91.0,1.0
5866,65,0,43,74.0,3.0
5867,454,2,25,97.0,3.0
5868,204,0,48,63.0,6.0
5869,48,0,37,66.0,2.0
5870,173,0,45,60.0,3.0
5871,16,0,12,85.0,1.0
5872,97,0,26,80.0,1.0
5873,461,2,73,85.0,0.5
5874,343,1,30,39.0,1.0
5875,354,2,189,91.0,3.0
5876,16,0,42,80.0,1.0
5877,144,0,5,50.0,3.0
5878,378,2,2,84.0,1.0
5879,284,1,46,90.0,2.0
5880,461,2,29,93.0,3.0
5881,62,0,28,87.0,1.0
5882,294,1,173,92.0,1.0
5883,356,2,13,80.0,2.0
5884,307,1,168,69.0,2.0
5885,158,0,19,69.0,3.0
5886,78,0,35,82.0,4.0
5887,197,0,48,75.0,6.0
5888,246,0,24,96.0,1.0
5889,378,2,51,79.0,2.0
5890,470,2,6,60.0,4.0
5891,294,1,51,88.0,2.0
5892,242,0,24,92.0,1.0
5893,69,0,115,82.0,1.0
5894,388,2,22,87.0,2.0
5895,273,1,37,77.0,2.0
5896,479,2,40,90.0,1.0
5897,341,1,12,88.0,1.0
5898,424,2,189,97.0,3.0
5899,366,2,191,71.0,3.0
5900,253,1,66,74.0,3.0
5901,207,0,3,79.0,2.0
5902,86,0,57,56.0,3.0
5903,270,1,22,69.0,2.0
5904,140,0,48,60.0,6.0
5905,437,2,48,87.0,6.0
5906,212,0,123,78.0,2.5
5907,323,1,113,79.0,2.5
5908,55,0,45,88.0,3.0
5909,210,0,17,72.0,4.0
5910,241,0,50,75.0,4.0
5911,170,0,11,75.0,1.0
5912,6,0,46,92.0,2.0
5913,316,1,3,88.0,2.0
5914,264,1,43,78.0,3.0
5915,352,2,9,75.0,4.5
5916,295,1,105,86.0,3.0
5917,145,0,3,80.0,2.0
5918,132,0,40,91.0,1.0
5919,104,0,57,87.0,3.0
5920,432,2,191,82.0,3.0
5921,243,0,35,79.0,4.0
5922,35,0,109,68.0,3
5923,437,2,59,85.0,1.0
5924,476,2,8,64.0,6.0
5925,445,2,16,82.0,4.5
5926,319,1,3,85.0,2.0
5927,461,2,45,72.0,3.0
